source,target,weight
Harry Potter,Ronald Weasley,10448
Harry Potter,Hermione Granger,9019
Hermione Granger,Ronald Weasley,6593
Albus Dumbledore,Harry Potter,3870
Harry Potter,Rubeus Hagrid,2228
Harry Potter,Tom Riddle,2085
Harry Potter,Severus Snape,2010
Harry Potter,Sirius Black,1642
Draco Malfoy,Harry Potter,1306
Fred Weasley,George Weasley,1230
Ginevra Weasley,Harry Potter,1011
Harry Potter,Neville Longbottom,931
Hermione Granger,Rubeus Hagrid,873
Harry Potter,Remus Lupin,845
Harry Potter,Molly Weasley,801
Cho Chang,Harry Potter,777
Dolores Umbridge,Harry Potter,774
Albus Dumbledore,Tom Riddle,738
Ronald Weasley,Rubeus Hagrid,732
Fred Weasley,Harry Potter,728
Godric Gryffindor,Harry Potter,691
George Weasley,Harry Potter,687
Dobby,Harry Potter,680
Harry Potter,Minerva McGonagall,680
Ginevra Weasley,Ronald Weasley,573
Fred Weasley,Ronald Weasley,559
Albus Dumbledore,Severus Snape,554
Cedric Diggory,Harry Potter,544
Alastor Moody,Harry Potter,543
Harry Potter,Horace Slughorn,529
Harry Potter,Vernon Dursley,521
George Weasley,Ronald Weasley,469
Draco Malfoy,Ronald Weasley,467
Harry Potter,Luna Lovegood,455
Dudley Dursley,Harry Potter,448
Ginevra Weasley,Hermione Granger,404
Harry Potter,Hedwig,401
Gregory Goyle,Vincent Crabbe,386
Ronald Weasley,Severus Snape,385
Albus Dumbledore,Hermione Granger,384
Albus Dumbledore,Ronald Weasley,356
Harry Potter,Sybill Trelawney,344
Cornelius Fudge,Harry Potter,334
Argus Filch,Harry Potter,323
Molly Weasley,Ronald Weasley,323
Harry Potter,Percy Weasley,323
Harry Potter,Kreacher,321
Hermione Granger,Sirius Black,319
Ronald Weasley,Sirius Black,307
Gilderoy Lockhart,Harry Potter,306
Draco Malfoy,Vincent Crabbe,288
Draco Malfoy,Gregory Goyle,279
Cornelius Fudge,Prime Minister,276
Harry Potter,Viktor Krum,275
Harry Potter,Nymphadora Tonks,274
Neville Longbottom,Ronald Weasley,268
Bartemius Crouch Senior,Harry Potter,263
Albus Dumbledore,Cornelius Fudge,263
Hermione Granger,Severus Snape,262
Fred Weasley,Hermione Granger,262
Hermione Granger,Neville Longbottom,260
Draco Malfoy,Hermione Granger,256
Albus Dumbledore,Rubeus Hagrid,248
Severus Snape,Sirius Black,245
Gregory Goyle,Harry Potter,234
Petunia Dursley,Vernon Dursley,234
Dolores Umbridge,Hermione Granger,230
Minerva McGonagall,Ronald Weasley,230
Harry Potter,Vincent Crabbe,229
Hermione Granger,Tom Riddle,228
Ronald Weasley,Tom Riddle,226
Harry Potter,Petunia Dursley,224
Draco Malfoy,Severus Snape,222
Harry Potter,Oliver Wood,221
Harry Potter,Salazar Slytherin,217
Harry Potter,William Weasley,214
Albus Dumbledore,Sirius Black,214
Aberforth Dumbledore,Harry Potter,213
Dean Thomas,Harry Potter,212
Fleur Delacour,Harry Potter,207
Remus Lupin,Sirius Black,207
Percy Weasley,Ronald Weasley,206
Harry Potter,Rufus Scrimgeour,204
George Weasley,Hermione Granger,203
Arthur Weasley,Harry Potter,198
Harry Potter,Seamus Finnigan,197
Griphook,Harry Potter,197
Albus Dumbledore,Draco Malfoy,195
Harry Potter,Lavender Brown,194
Harry Potter,Rita Skeeter,193
Hermione Granger,Rita Skeeter,190
Harry Potter,Ludovic Bagman,189
Godric Gryffindor,Ronald Weasley,187
Remus Lupin,Severus Snape,185
Buckbeak,Harry Potter,184
Bellatrix Lestrange,Harry Potter,184
Lavender Brown,Ronald Weasley,178
Hermione Granger,Molly Weasley,177
Harry Potter,Lucius Malfoy,173
Harry Potter,Poppy Pomfrey,167
Godric Gryffindor,Hermione Granger,166
Remus Lupin,Ronald Weasley,166
Dudley Dursley,Petunia Dursley,162
Harry Potter,Quirinus Quirrell,161
Albus Dumbledore,Minerva McGonagall,158
Hermione Granger,Remus Lupin,157
Gilderoy Lockhart,Ronald Weasley,153
Fred Weasley,Ginevra Weasley,151
Ginevra Weasley,Neville Longbottom,150
Godric Gryffindor,Oliver Wood,148
Dudley Dursley,Vernon Dursley,145
Fleur Delacour,William Weasley,145
Lily J. Potter,Severus Snape,140
Luna Lovegood,Ronald Weasley,138
George Weasley,Ginevra Weasley,135
Godric Gryffindor,Neville Longbottom,134
Peter Pettigrew,Sirius Black,134
Hermione Granger,Luna Lovegood,134
Hermione Granger,Viktor Krum,132
Harry Potter,Peter Pettigrew,132
Father Christmas,Harry Potter,130
Peter Pettigrew,Remus Lupin,130
Hermione Granger,Minerva McGonagall,130
Dean Thomas,Ronald Weasley,130
Harry Potter,Myrtle Warren,130
Harry Potter,Mundungus Fletcher,129
Harry Potter,Winky,127
Angelina Johnson,Harry Potter,127
Kreacher,Sirius Black,125
Garrick Ollivander,Harry Potter,125
Alastor Moody,Albus Dumbledore,124
Cho Chang,Ronald Weasley,124
Gregory Goyle,Ronald Weasley,122
Harry Potter,Peeves,120
Albus Dumbledore,Horace Slughorn,119
Nymphadora Tonks,Remus Lupin,116
Fred Weasley,Molly Weasley,113
