source,target,weight
Harry Potter,Ronald Weasley,2002
Harry Potter,Hermione Granger,1977
Hermione Granger,Ronald Weasley,1205
Harry Potter,Sirius Black,743
Dolores Umbridge,Harry Potter,738
Albus Dumbledore,Harry Potter,712
Cho Chang,Harry Potter,619
Harry Potter,Severus Snape,526
Fred Weasley,George Weasley,486
Harry Potter,Neville Longbottom,461
Harry Potter,Rubeus Hagrid,408
Harry Potter,Tom Riddle,407
George Weasley,Harry Potter,281
Harry Potter,Molly Weasley,280
Hermione Granger,Rubeus Hagrid,257
Dobby,Harry Potter,239
Fred Weasley,Harry Potter,226
Ginevra Weasley,Harry Potter,216
Draco Malfoy,Harry Potter,211
Ginevra Weasley,Ronald Weasley,209
Dolores Umbridge,Hermione Granger,207
Godric Gryffindor,Harry Potter,207
Fred Weasley,Ronald Weasley,189
Harry Potter,Minerva McGonagall,188
Harry Potter,Luna Lovegood,188
Ginevra Weasley,Hermione Granger,180
Harry Potter,Remus Lupin,178
Ronald Weasley,Rubeus Hagrid,155
Dudley Dursley,Harry Potter,149
George Weasley,Ronald Weasley,147
Albus Dumbledore,Cornelius Fudge,142
Hermione Granger,Sirius Black,137
Harry Potter,Hedwig,132
Hermione Granger,Rita Skeeter,130
Albus Dumbledore,Tom Riddle,130
Fred Weasley,Hermione Granger,124
Hermione Granger,Neville Longbottom,123
Godric Gryffindor,Neville Longbottom,122
Harry Potter,Kreacher,120
Cornelius Fudge,Harry Potter,119
Molly Weasley,Ronald Weasley,117
Kreacher,Sirius Black,111
Harry Potter,Nymphadora Tonks,110
Alastor Moody,Harry Potter,104
Bellatrix Lestrange,Harry Potter,96
Harry Potter,Seamus Finnigan,96
Albus Dumbledore,Sirius Black,94
George Weasley,Hermione Granger,94
Severus Snape,Sirius Black,90
Ronald Weasley,Sirius Black,90
Cho Chang,Hermione Granger,89
Angelina Johnson,Harry Potter,85
Dolores Umbridge,Ronald Weasley,83
Cornelius Fudge,Prime Minister,83
Harry Potter,Percy Weasley,77
Arthur Weasley,Harry Potter,77
Neville Longbottom,Ronald Weasley,76
Luna Lovegood,Ronald Weasley,75
Gregory Goyle,Vincent Crabbe,74
Albus Dumbledore,Dolores Umbridge,74
James Potter I,Severus Snape,73
Cho Chang,Ronald Weasley,71
Cho Chang,Marietta Edgecombe,71
Harry Potter,Mundungus Fletcher,71
Sirius Black,Tom Riddle,70
Molly Weasley,Sirius Black,69
Ginevra Weasley,Neville Longbottom,69
Harry Potter,Vernon Dursley,68
Ginevra Weasley,Luna Lovegood,67
